t,<x^2>,Std Error of Mean,"F_s(q1,R(t))","F_s(q2,R(t))","F_s(q3,R(t))",StdErrorOfMeanRq1,StdErrorOfMeanRq2,StdErrorOfMeanRq3
247,230.107,14.5619,0.797332,-0.00689774,-0.0508584,0.0112027,0.028904,0.0291168
248,232.227,14.8197,0.795993,-0.0269147,0.0686512,0.0113368,0.0294082,0.0289976
249,234.453,15.1167,0.794673,-0.0274422,-0.0668535,0.0115058,0.0280927,0.0282124
250,235.787,15.0745,0.793371,-0.00479316,0.0660411,0.0115258,0.02887,0.0287949
251,234.013,14.9534,0.794729,0.0200777,-0.0633956,0.0114846,0.029176,0.0283562
252,235.08,15.118,0.794138,0.035448,0.0710896,0.011555,0.0282138,0.0287273
253,235.467,15.1689,0.79391,0.0280528,-0.0721464,0.0115869,0.0286069,0.0288373
254,237.427,15.2077,0.792226,0.0150479,0.0727545,0.0116456,0.0291379,0.0284016
255,240.46,15.3742,0.789824,-0.0117688,-0.0634136,0.0117169,0.0286846,0.0285866
256,240.04,15.3214,0.790074,-0.00208239,0.0455666,0.0116883,0.0282651,0.0287488
257,240.833,15.4697,0.789689,0.0125165,-0.039055,0.0117369,0.0294422,0.0290346
258,241.027,15.5163,0.789626,0.012787,0.0445143,0.0117619,0.0283725,0.028716
259,244.073,15.6585,0.787226,-0.022217,-0.0187382,0.0118925,0.0291425,0.0285275
260,244.613,15.4901,0.786358,0.0452068,0.0236129,0.0118761,0.0284932,0.0282835
261,246.627,15.6497,0.784942,0.00701332,-0.0318086,0.0119979,0.0285873,0.0287203
262,248.293,15.7404,0.783654,-0.0540087,0.0303799,0.0120686,0.0286493,0.0288188
263,247.86,15.7428,0.784046,-0.00360766,-0.0375183,0.0120612,0.0288313,0.0289924
264,250.16,16.0518,0.782714,-0.0250389,0.0514969,0.012199,0.0290113,0.0288308
265,251.953,16.1199,0.781201,-0.0851666,-0.0211762,0.0121898,0.02876,0.0293645
266,254.333,16.3838,0.779695,-0.00148942,0.0150327,0.0123127,0.0286907,0.0291588
267,254.747,16.2492,0.77899,-0.0434313,-0.0170021,0.0122746,0.0287917,0.029139
268,255.64,16.2938,0.778275,-0.0618698,0.00434377,0.0122737,0.0290961,0.0289971
269,258.027,16.4412,0.776477,-0.0429692,-0.00463273,0.0123389,0.0284389,0.029489
270,259.973,16.7144,0.775444,-0.058337,0.00492695,0.0124876,0.0290639,0.0297446
271,261.693,16.8429,0.77423,-0.0362607,-0.0226687,0.0125688,0.0290652,0.0292863
272,260.88,16.7889,0.774829,-0.0512248,0.0123814,0.0125385,0.0287319,0.0295744
273,263.113,16.8499,0.77302,-0.058158,-0.00718527,0.0126445,0.0292622,0.0291997
274,264.453,17.0164,0.772179,-0.0372367,-0.00628841,0.0126555,0.0289541,0.0289282
